object_id,item_id,artist_id,artist_display_name,title,style,medium,culture,department,classification,object_date,price,quality,popularity_prior,freshness,margin,margin_pct,availability,is_public_domain,object_name,artist_nationality,period,tags,dominant_hue,palette,description,embedding
100000,item_0000,artist_000,Leila Khan,Fragments of Falling City,contemporary,Acrylic on canvas,Spanish,Asian Art,Photography,1948,151.12,0.5426,0.1499,0.2145,41.02,0.2714,1,True,Painting,Spanish,20th century,garden|movement|portrait|red,red,high-contrast,"Fragments of Falling City is a contemporary acrylic on canvas work with a high-contrast palette and tags movement, garden, portrait, red.","[0.13250647536990767, -0.036884222256624064, 0.1727813165800213, 0.850902760088495, -0.06246417218527865, -0.06245979248042513, 0.42128037377896227, 0.20472553564265378]"
100001,item_0001,artist_001,Leila Valette,View of Golden Figure,landscape,Acrylic on canvas,Dutch,Asian Art,Paintings,1925,87.6,0.3757,0.1274,0.7204,46.43,0.53,1,True,Painting,Dutch,20th century,flowers|nature|red|sea,red,warm,"View of Golden Figure is a landscape acrylic on canvas work with a warm palette and tags flowers, sea, nature, red.","[-0.3147155487596955, -0.48949575937835665, 0.507984831057868, -0.07825267437294306, 0.023404859593527984, -0.49380894114637913, 0.3889766981261071, 0.03844508601861582]"
100002,item_0002,artist_002,Ari Valette,Echoes of Harbor Light,surrealism,Ink on paper,Japanese,European Paintings,Paintings,1972,200.56,-0.3011,0.0632,0.8887,98.34,0.4903,1,True,Painting,Japanese,20th century,portrait|violet,violet,earth,"Echoes of Harbor Light is a surrealism ink on paper work with a earth palette and tags portrait, violet.","[0.23968061584564948, -0.3557405237947623, 0.06086057349801703, -0.5710264998720229, -0.38701892805293975, 0.05736321695626504, 0.21518110691629472, 0.5355833362602318]"
100003,item_0003,artist_003,Elena Silva,Portrait of Red Horizon,abstract,Pastel on paper,French,Photographs,Paintings,1935,149.95,-0.1857,0.1122,0.3214,78.42,0.523,1,True,Painting,French,20th century,black|night,black,neutral,"Portrait of Red Horizon is a abstract pastel on paper work with a neutral palette and tags night, black.","[0.43633245399608384, 0.2696596660050956, 0.45451980395466973, 0.4105581505438945, -0.36997202792785494, -0.13631737492177512, 0.1460386611376829, 0.43007253665370093]"
100004,item_0004,artist_004,Sofia Ito,Fragments of Falling City,abstract,Mixed media,American,European Paintings,Prints,1905,236.76,-1.9876,0.1385,0.4289,72.5,0.3062,1,True,Painting,American,20th century,architecture|red,red,neutral,"Fragments of Falling City is a abstract mixed media work with a neutral palette and tags architecture, red.","[0.4983155983635316, 0.37791128134418356, -0.008802823444333361, 0.384448914744838, -0.6436981087885029, 0.2019498335349277, 0.021388353055044048, -0.07346915763227112]"
100005,item_0005,artist_005,Jonas Mercer,Memory of Mirror Lake,modern,Ink on paper,French,Drawings and Prints,Photography,1936,160.76,-1.4635,0.1982,0.2651,89.13,0.5544,1,True,Painting,French,20th century,dreamlike|flowers|portrait|violet,violet,cool,"Memory of Mirror Lake is a modern ink on paper work with a cool palette and tags portrait, flowers, dreamlike, violet.","[0.4548683004332311, 0.16335821779812407, 0.5649350165683349, 0.2550453843760759, 0.048238363259432294, 0.4813249740703109, -0.3488540079277111, -0.1628171061187543]"
100006,item_0006,artist_006,Elena Valette,Composition in Golden Figure,surrealism,Acrylic on canvas,American,Drawings and Prints,Paintings,1941,230.86,2.0,0.1436,0.5606,96.83,0.4194,1,True,Painting,American,20th century,black|nature,black,earth,"Composition in Golden Figure is a surrealism acrylic on canvas work with a earth palette and tags nature, black.","[-0.050448354341841674, 0.1263825579225219, 0.5899777092213969, 0.05460597390178135, 0.08055886189700247, -0.023285844102866105, -0.6001700285192252, 0.5130213230384786]"
100007,item_0007,artist_007,Noah Mercer,Composition in Blue Garden,contemporary,Pastel on paper,British,European Paintings,Drawings,2023,63.63,0.0686,0.0657,0.3971,29.32,0.4608,1,True,Painting,British,21th century,architecture|red,red,neutral,"Composition in Blue Garden is a contemporary pastel on paper work with a neutral palette and tags architecture, red.","[0.3081755825220628, -0.3079683632284587, 0.128924836185297, 0.8473593741263551, -0.21760788921556912, -0.12440821248041518, 0.021892102958779042, -0.1106070232701451]"
100008,item_0008,artist_008,Marcus Ito,Light over Evening Field,contemporary,Acrylic on canvas,American,European Paintings,Photography,1898,81.78,-1.3205,0.2223,0.32,30.46,0.3725,1,True,Painting,American,19th century,dreamlike|garden|gold|nature,gold,neutral,"Light over Evening Field is a contemporary acrylic on canvas work with a neutral palette and tags dreamlike, garden, nature, gold.","[0.21461177162121559, -0.3247109783728053, 0.0600055886906396, 0.7845126011681396, -0.4240657941278983, 0.04870775766614527, 0.06855897539311925, 0.20625057223573234]"
100009,item_0009,artist_009,Noah Morel,Composition in Golden Figure,portrait,Acrylic on canvas,French,Photographs,Photography,2003,555.85,-0.8207,0.2679,0.6113,206.71,0.3719,1,True,Painting,French,21th century,figure|green,green,cool,"Composition in Golden Figure is a portrait acrylic on canvas work with a cool palette and tags figure, green.","[0.08227737349696478, -0.20054752248650148, 0.5237988562580735, 0.1330241894443805, -0.3344473866287998, 0.6522225037211654, -0.27363282166800357, 0.22096668850175377]"
100010,item_0010,artist_010,Noah Bellamy,Study of Red Horizon,impressionism,Pastel on paper,American,European Paintings,Drawings,1939,362.91,-0.8572,0.065,0.335,132.94,0.3663,1,True,Painting,American,20th century,blue|garden|gold,gold,cool,"Study of Red Horizon is a impressionism pastel on paper work with a cool palette and tags garden, blue, gold.","[-0.0203319514575526, 0.5294677830675978, 0.07296419163049418, 0.21813069766809245, 0.0034286377893146267, 0.38330128505886185, -0.06979079876689963, 0.7173167478607714]"
100011,item_0011,artist_011,Marcus Mercer,Portrait of Mirror Lake,landscape,Watercolor on paper,Italian,Photographs,Photography,1899,252.69,0.3853,0.0864,0.7491,72.87,0.2884,1,True,Painting,Italian,19th century,architecture|blue|movement|red,red,cool,"Portrait of Mirror Lake is a landscape watercolor on paper work with a cool palette and tags architecture, movement, blue, red.","[0.1554903561575383, -0.023929191128427556, -0.2782286318275611, -0.49772909477120025, -0.1467101627625922, 0.28138454473530294, 0.6179561618443463, -0.4093088890718183]"
100012,item_0012,artist_012,Jonas Ito,Fragments of Mirror Lake,abstract,Ink on paper,Japanese,Photographs,Drawings,1932,347.35,1.1356,0.2513,0.3826,196.56,0.5659,1,True,Painting,Japanese,20th century,blue|sea,blue,warm,"Fragments of Mirror Lake is a abstract ink on paper work with a warm palette and tags sea, blue.","[0.5283330624241556, 0.20247839363728135, -0.26470652628602154, -0.18019447507067865, 0.09895930015469681, 0.09871925549321434, 0.09896168637029083, 0.7402669997056514]"
100013,item_0013,artist_013,Jonas Dubois,Silence in Summer Window,contemporary,Ink on paper,French,Photographs,Paintings,2018,124.14,0.6796,0.0971,0.7041,30.97,0.2495,1,True,Painting,French,21th century,garden|portrait|white,white,earth,"Silence in Summer Window is a contemporary ink on paper work with a earth palette and tags garden, portrait, white.","[0.6712007553182959, -0.5414663854498107, 0.1990005630878962, 0.015644559934486095, -0.13684999996862204, 0.3157720424568788, 0.018639810635550563, -0.3125225981065981]"
100014,item_0014,artist_014,Noah Khan,Dream of Harbor Light,portrait,Mixed media,French,Drawings and Prints,Photography,1887,84.22,-0.3345,0.1581,0.1395,46.69,0.5544,1,True,Painting,French,19th century,blue|garden|sea,blue,neutral,"Dream of Harbor Light is a portrait mixed media work with a neutral palette and tags sea, garden, blue.","[-0.6625868697962838, 0.061004188839357744, -0.21652353027059765, 0.2788994408264502, -0.2592972162979574, 0.5077610815317912, 0.16522191704972258, 0.2832580915015048]"
100015,item_0015,artist_015,Leila Ito,Echoes of Harbor Light,contemporary,Acrylic on canvas,British,European Paintings,Drawings,2024,104.8,-0.0595,0.0481,0.0885,33.81,0.3226,1,True,Painting,British,21th century,gold|minimal|portrait|sea,gold,neutral,"Echoes of Harbor Light is a contemporary acrylic on canvas work with a neutral palette and tags portrait, sea, minimal, gold.","[0.6080937168453129, 0.29584798644228816, -0.43536820294411743, 0.3388204091175379, 0.36302733545539956, -0.20277930354600518, 0.12717433620084972, 0.2219676861712135]"
100016,item_0016,artist_016,Leila Morel,Composition in Quiet Street,minimalist,Watercolor on paper,American,European Paintings,Drawings,1972,612.81,-0.6151,0.4587,0.5533,196.98,0.3214,1,True,Painting,American,20th century,dreamlike|red,red,neutral,"Composition in Quiet Street is a minimalist watercolor on paper work with a neutral palette and tags dreamlike, red.","[-0.4515032698812804, 0.12734353801410064, 0.2860648986344473, -0.06366226371377877, 0.5432279598703144, 0.20349869484652378, 0.03965020390773665, -0.5966254567594963]"
100017,item_0017,artist_017,Ari Khan,Portrait of Blue Garden,surrealism,Oil on canvas,Spanish,Asian Art,Prints,1918,350.26,-0.6297,0.2364,0.3974,77.5,0.2213,1,True,Painting,Spanish,20th century,architecture|portrait|urban|violet,violet,warm,"Portrait of Blue Garden is a surrealism oil on canvas work with a warm palette and tags portrait, urban, architecture, violet.","[-0.20719762935088523, 0.294472568169058, -0.15456806954007352, -0.20704378493778477, -0.11828562784223604, 0.31677307510628766, 0.48332294823987676, 0.6750251015435168]"
100018,item_0018,artist_018,Noah Dubois,Echoes of Blue Garden,landscape,Oil on canvas,American,Modern and Contemporary Art,Paintings,1995,470.1,-0.2392,0.2605,0.6478,202.0,0.4297,1,True,Painting,American,20th century,blue|red,red,neutral,"Echoes of Blue Garden is a landscape oil on canvas work with a neutral palette and tags blue, red.","[-0.18513064952976346, 0.48596322329841046, -0.13754591804485589, -0.12765599492620133, 0.08187422042073379, 0.0038012168213047487, 0.8129120563648121, -0.16373028415493557]"
100019,item_0019,artist_019,Thomas Hart,View of Golden Figure,abstract,Gouache on board,French,European Paintings,Prints,1924,906.85,-0.3091,0.2486,0.3417,488.14,0.5383,1,True,Painting,French,20th century,figure|gold,gold,earth,"View of Golden Figure is a abstract gouache on board work with a earth palette and tags figure, gold.","[0.7853500490157856, 0.25173522119954833, -0.25000901092790373, 0.16101185914019064, 0.1393628693789056, -0.14606728389487733, -0.0018420772373877361, -0.43665123366215725]"
100020,item_0020,artist_020,Thomas Mercer,Silence in Blue Garden,modern,Acrylic on canvas,Spanish,Drawings and Prints,Photography,1912,772.52,-0.3023,0.1619,0.3463,244.15,0.3161,1,True,Painting,Spanish,20th century,blue|figure|violet,violet,cool,"Silence in Blue Garden is a modern acrylic on canvas work with a cool palette and tags figure, blue, violet.","[-0.1308120466229628, 0.1442730125051888, 0.6552194509778035, 0.29787057183444454, -0.12318398635360321, -0.17139781242380608, 0.35096428968360044, -0.525648800745778]"
100021,item_0021,artist_021,Amira Valette,View of Harbor Light,surrealism,Pastel on paper,Japanese,Modern and Contemporary Art,Drawings,1969,304.48,-0.4319,0.3432,0.2305,139.33,0.4576,1,True,Painting,Japanese,20th century,figure|gold|nature,gold,warm,"View of Harbor Light is a surrealism pastel on paper work with a warm palette and tags figure, nature, gold.","[0.09677476053371484, -0.0826792340445462, 0.1102569998402027, 0.016779744176072326, 0.2369320796376347, 0.11409967523490586, 0.013093379843117316, 0.9497545159167239]"
100022,item_0022,artist_022,Thomas Khan,Echoes of Falling City,landscape,Oil on canvas,American,Drawings and Prints,Drawings,1894,478.21,0.742,0.2778,0.2164,270.91,0.5665,1,True,Painting,American,19th century,green|sea,green,earth,"Echoes of Falling City is a landscape oil on canvas work with a earth palette and tags sea, green.","[-0.20898368926845934, -0.04077917184679442, -0.3503471624862931, 0.2669764935564119, -0.46800535051470415, -0.4945259338862438, 0.5246303550285785, 0.147720603551668]"
100023,item_0023,artist_023,Ari Dubois,Silence in Glass Room,portrait,Ink on paper,American,Asian Art,Drawings,1885,93.65,-0.1424,0.166,0.0856,22.1,0.236,1,True,Painting,American,19th century,garden|gold|minimal|movement,gold,neutral,"Silence in Glass Room is a portrait ink on paper work with a neutral palette and tags garden, minimal, movement, gold.","[-0.04056223792211946, 0.4383505114697233, -0.5646380427962632, -0.2122579459751023, 0.001856962484033346, 0.6068575327555572, -0.15938263836841274, 0.22057116534368482]"
100024,item_0024,artist_024,Mila Mercer,View of Evening Field,contemporary,Oil on canvas,Spanish,Drawings and Prints,Prints,2014,368.68,1.3686,0.0676,0.927,176.64,0.4791,1,True,Painting,Spanish,21th century,dreamlike|flowers|green,green,warm,"View of Evening Field is a contemporary oil on canvas work with a warm palette and tags dreamlike, flowers, green.","[0.39849928016652586, 0.029717435316872973, 0.30296778547023945, 0.4455214860241402, 0.5294172187051505, 0.450956497621637, -0.0639602279607465, 0.24960179962739948]"
100025,item_0025,artist_025,Leila Silva,Echoes of Quiet Street,minimalist,Acrylic on canvas,Italian,Asian Art,Drawings,1885,299.13,-0.0327,0.0222,0.7512,127.09,0.4249,1,True,Painting,Italian,19th century,flowers|gold|portrait,gold,earth,"Echoes of Quiet Street is a minimalist acrylic on canvas work with a earth palette and tags portrait, gold, flowers.","[-0.06260507018542213, 0.16674329505310662, 0.3491194604767597, 0.01721823033226755, 0.7657614722479731, -0.32070956489534624, -0.3958339712810475, -0.012908238186426469]"
100026,item_0026,artist_026,Mila Bellamy,Light over Mirror Lake,portrait,Mixed media,Spanish,Modern and Contemporary Art,Photography,2016,141.27,-1.1979,0.4236,0.3188,64.59,0.4572,1,True,Painting,Spanish,21th century,dreamlike|green|night|sea,green,cool,"Light over Mirror Lake is a portrait mixed media work with a cool palette and tags dreamlike, sea, night, green.","[-0.03033319745029319, 0.46223576696750224, -0.4770365894881976, 0.24393048311943766, -0.25661519928267956, 0.4228676235447291, -0.05179674218229632, -0.5009997134768538]"
100027,item_0027,artist_027,Amira Dubois,Portrait of Golden Figure,contemporary,Pastel on paper,French,Modern and Contemporary Art,Paintings,1903,65.46,1.3669,0.4079,0.546,20.17,0.3081,1,True,Painting,French,20th century,dreamlike|flowers|gold,gold,warm,"Portrait of Golden Figure is a contemporary pastel on paper work with a warm palette and tags flowers, dreamlike, gold.","[-0.032024838189896106, -0.06299865162276842, 0.17509953430731423, 0.6911345151281035, -0.1512464024661891, -0.16416635056151938, -0.07841751120385393, -0.6562800033424999]"
100028,item_0028,artist_028,Mila Hart,Light over Evening Field,landscape,Acrylic on canvas,French,European Paintings,Paintings,2017,848.39,0.8816,0.1167,0.6466,253.48,0.2988,1,True,Painting,French,21th century,blue|movement|violet,violet,high-contrast,"Light over Evening Field is a landscape acrylic on canvas work with a high-contrast palette and tags blue, movement, violet.","[-0.04424996603628556, -0.33054587374109307, -0.5557108626548972, 0.0703832746733471, -0.2616410643987302, -0.4919939284046087, 0.3528765254533526, -0.37413511208695127]"
100029,item_0029,artist_029,Thomas Bellamy,Light over Quiet Street,impressionism,Pastel on paper,Italian,Photographs,Prints,2014,136.96,-0.864,0.2364,0.6479,60.34,0.4406,1,True,Painting,Italian,21th century,figure|movement|white,white,high-contrast,"Light over Quiet Street is a impressionism pastel on paper work with a high-contrast palette and tags figure, movement, white.","[-0.30421540943247577, 0.09862368187872922, 0.3217811880238374, 0.6633872270391789, -0.48590330939734255, 0.19559199020312676, -0.22605227197407374, -0.16924161584581768]"
100030,item_0030,artist_030,Elena Morel,Light over Harbor Light,surrealism,Pastel on paper,French,Drawings and Prints,Photography,1958,129.48,0.5706,0.1901,0.7296,41.29,0.3189,1,True,Painting,French,20th century,blue|portrait,blue,cool,"Light over Harbor Light is a surrealism pastel on paper work with a cool palette and tags portrait, blue.","[-0.1792339672161931, 0.23474080459519822, 0.15566199293614005, -0.3037791502666984, 0.030867905929491173, 0.23349651395534027, -0.5187742794570098, 0.6867745683734807]"
100031,item_0031,artist_031,Leila Hart,Memory of Quiet Street,impressionism,Acrylic on canvas,Italian,Modern and Contemporary Art,Drawings,2023,429.31,-1.1297,0.165,0.6407,158.57,0.3694,1,True,Painting,Italian,21th century,blue|flowers|green,green,warm,"Memory of Quiet Street is a impressionism acrylic on canvas work with a warm palette and tags flowers, blue, green.","[-0.03898703578790347, 0.26883346232306893, -0.38458285562228306, 0.027965183501465613, -0.5076432941897008, -0.22688750680589026, 0.5937120658515581, -0.34036580654385645]"
100032,item_0032,artist_032,Jonas Silva,Fragments of Blue Garden,landscape,Pastel on paper,Japanese,Photographs,Photography,1961,148.94,-0.4326,0.2537,0.7053,33.08,0.2221,1,True,Painting,Japanese,20th century,figure|garden|green,green,high-contrast,"Fragments of Blue Garden is a landscape pastel on paper work with a high-contrast palette and tags figure, garden, green.","[0.14966698731299866, -0.2435609547704697, 0.03491789496518647, -0.06277785767279458, 0.4709157114403118, 0.10259685977548229, 0.8082346422764533, -0.16609206537370347]"
100033,item_0033,artist_033,Sofia Bellamy,Light over Golden Figure,contemporary,Watercolor on paper,Italian,Asian Art,Paintings,1988,427.16,-2.0,0.1659,0.0981,145.66,0.341,1,True,Painting,Italian,20th century,figure|geometry|urban|white,white,high-contrast,"Light over Golden Figure is a contemporary watercolor on paper work with a high-contrast palette and tags urban, figure, geometry, white.","[-0.5574944969636636, -0.2757449611644125, -0.5117234903631555, 0.3597379106737972, 0.005038036127791916, 0.4585610741477424, 0.08942545395755162, -0.05993124413376999]"
100034,item_0034,artist_034,Noah Rossi,Silence in Glass Room,abstract,Ink on paper,Spanish,European Paintings,Paintings,1931,232.96,-0.4777,0.2151,0.6586,62.63,0.2689,1,True,Painting,Spanish,20th century,gold|portrait,gold,high-contrast,"Silence in Glass Room is a abstract ink on paper work with a high-contrast palette and tags portrait, gold.","[0.6403737313253809, 0.6323655595337785, 0.050647957844717505, 0.06912698448146354, -0.1279274787284901, -0.23667327281456949, 0.23124033328648902, -0.2384108998793146]"
100035,item_0035,artist_035,Leila Rossi,View of Falling City,surrealism,Pastel on paper,Italian,Drawings and Prints,Photography,1889,53.02,1.496,0.2616,0.7974,27.6,0.5206,1,True,Painting,Italian,19th century,blue|gold|movement|night,gold,neutral,"View of Falling City is a surrealism pastel on paper work with a neutral palette and tags movement, blue, night, gold.","[0.25983571408726197, -0.31653248179088855, 0.29849150998663454, 0.46532156936163904, 0.1419111872299883, 0.644208604236483, -0.265602500065444, 0.1448552559980587]"
100036,item_0036,artist_036,Ari Morel,Study of Golden Figure,abstract,Acrylic on canvas,Japanese,European Paintings,Drawings,1914,786.96,-0.5112,0.0858,0.331,208.89,0.2654,1,True,Painting,Japanese,20th century,architecture|geometry|gold|white,white,cool,"Study of Golden Figure is a abstract acrylic on canvas work with a cool palette and tags gold, geometry, architecture, white.","[0.5571471479822766, 0.22767162816335412, 0.1508916934796772, 0.07023199834346311, -0.24797035350842517, 0.14789873901894554, 0.5903875533074922, 0.42205574407135654]"
100037,item_0037,artist_037,Jonas Khan,Fragments of Glass Room,modern,Gouache on board,Spanish,European Paintings,Drawings,1964,168.17,1.669,0.2432,0.2291,43.54,0.2589,1,True,Painting,Spanish,20th century,blue|dreamlike|figure|flowers,blue,neutral,"Fragments of Glass Room is a modern gouache on board work with a neutral palette and tags dreamlike, flowers, figure, blue.","[-0.05809110057580701, -0.15694146552950308, 0.24064774131665964, -0.6084027838383173, 0.3026360429701704, 0.026955117081226918, -0.4742500155981464, -0.47613158505446995]"
100038,item_0038,artist_038,Mila Ito,Composition in Harbor Light,contemporary,Pastel on paper,Spanish,Photographs,Paintings,2021,247.91,-0.7825,0.3037,0.5383,124.39,0.5017,1,True,Painting,Spanish,21th century,dreamlike|green|night,green,earth,"Composition in Harbor Light is a contemporary pastel on paper work with a earth palette and tags dreamlike, night, green.","[0.5752992476819137, -0.5194461705398504, 0.263845811621653, 0.443032009843031, -0.08402288177792769, 0.00035701605689403515, 0.0808160597885628, -0.346010502915101]"
100039,item_0039,artist_039,Marcus Khan,Study of Evening Field,portrait,Pastel on paper,Italian,European Paintings,Photography,2002,179.43,-0.1499,0.3291,0.6155,80.53,0.4488,1,True,Painting,Italian,21th century,flowers|garden|urban|violet,violet,neutral,"Study of Evening Field is a portrait pastel on paper work with a neutral palette and tags urban, flowers, garden, violet.","[0.02726719237178299, 0.35575175093655437, -0.6813200216647497, -0.5324755692034697, -0.3178492839494918, 0.12531616674790724, 0.05218795671854984, 0.07425695637364942]"
100040,item_0040,artist_037,Jonas Khan,Fragments of Red Horizon,minimalist,Pastel on paper,Italian,Asian Art,Photography,1907,183.14,0.8139,0.0973,0.5886,61.54,0.336,1,True,Painting,Italian,20th century,garden|geometry|red,red,neutral,"Fragments of Red Horizon is a minimalist pastel on paper work with a neutral palette and tags garden, geometry, red.","[0.4988824522636771, -0.276392091969834, -0.2857474673784844, 0.03874195926887742, 0.6027610213032497, 0.19635755711596128, -0.41323596239916977, -0.13758653579422458]"
100041,item_0041,artist_031,Leila Hart,View of Blue Garden,landscape,Mixed media,Japanese,Drawings and Prints,Drawings,1972,71.04,1.2467,0.0169,0.4884,24.7,0.3477,1,True,Painting,Japanese,20th century,garden|green|sea,green,cool,"View of Blue Garden is a landscape mixed media work with a cool palette and tags garden, sea, green.","[-0.09545285231067585, -0.5148991054657692, 0.5441652040451871, -0.38283378062411755, -0.25171886914157243, 0.4057344883976971, -0.026655066264126368, 0.23323128768056664]"
100042,item_0042,artist_035,Leila Rossi,Echoes of Golden Figure,abstract,Oil on canvas,French,Asian Art,Photography,2010,238.48,-1.6296,0.1859,0.5383,111.76,0.4686,1,True,Painting,French,21th century,blue|minimal|white,white,cool,"Echoes of Golden Figure is a abstract oil on canvas work with a cool palette and tags minimal, blue, white.","[0.6734593042017435, -0.08162202401312765, 0.3272621979101237, 0.5240009387944982, 0.163445149303619, -0.15143390724668082, -0.1016626404926369, -0.31325874666859677]"
100043,item_0043,artist_035,Leila Rossi,Dream of Harbor Light,landscape,Gouache on board,Dutch,Drawings and Prints,Photography,1969,257.87,-1.4344,0.3201,0.3908,88.65,0.3438,1,True,Painting,Dutch,20th century,architecture|geometry|white,white,earth,"Dream of Harbor Light is a landscape gouache on board work with a earth palette and tags architecture, geometry, white.","[0.5128374672550318, -0.5238316655555592, 0.26630864865785286, -0.08250850884100791, 0.4209372479477233, 0.2001968184232261, -0.36690355314005757, -0.1816177747266004]"
100044,item_0044,artist_012,Jonas Ito,Composition in Golden Figure,contemporary,Watercolor on paper,American,Photographs,Drawings,2019,484.6,-0.3522,0.209,0.6516,235.47,0.4859,1,True,Painting,American,21th century,gold|green|nature|portrait,green,cool,"Composition in Golden Figure is a contemporary watercolor on paper work with a cool palette and tags portrait, nature, gold, green.","[0.6250021921727713, 0.02263186415748587, 0.042508415407246716, 0.5399675682999275, -0.36069643246486965, -0.001267029591157256, -0.15641041083975937, -0.4011488241793259]"
100045,item_0045,artist_002,Ari Valette,Portrait of Blue Garden,modern,Gouache on board,Dutch,Modern and Contemporary Art,Prints,1917,242.09,0.8167,0.2029,0.5051,101.49,0.4192,1,True,Painting,Dutch,20th century,figure|geometry|minimal|white,white,warm,"Portrait of Blue Garden is a modern gouache on board work with a warm palette and tags figure, minimal, geometry, white.","[-0.14249237551442887, -0.2755727025090857, 0.6576947810056101, -0.44659543847951616, 0.28984919628593714, -0.33423665700829924, -0.05731577417007935, 0.26969223131286746]"
100046,item_0046,artist_016,Leila Morel,Light over Mirror Lake,minimalist,Mixed media,British,Modern and Contemporary Art,Paintings,1987,447.13,-1.4052,0.2244,0.4384,116.73,0.2611,1,True,Painting,British,20th century,blue|nature|sea,blue,high-contrast,"Light over Mirror Lake is a minimalist mixed media work with a high-contrast palette and tags nature, sea, blue.","[0.09746496509016336, 0.38410358927886423, 0.06281285677875144, 0.20960186150084237, 0.682057880947715, 0.5298567036730855, -0.03773801270698322, -0.21842934648115647]"
100047,item_0047,artist_035,Leila Rossi,Memory of Glass Room,modern,Watercolor on paper,American,Modern and Contemporary Art,Paintings,1942,228.43,1.2232,0.0551,0.5179,100.12,0.4383,1,True,Painting,American,20th century,figure|flowers|geometry|violet,violet,high-contrast,"Memory of Glass Room is a modern watercolor on paper work with a high-contrast palette and tags flowers, geometry, figure, violet.","[-0.1298515070475312, -0.1921161140402408, 0.8003191514102008, 0.25624889129725786, 0.08357871867817908, -0.39849329529526, 0.17289774134313587, 0.21066515583147463]"
100048,item_0048,artist_013,Jonas Dubois,Portrait of Glass Room,landscape,Ink on paper,American,Photographs,Paintings,1925,83.74,-1.0706,0.2018,0.3886,26.4,0.3153,1,True,Painting,American,20th century,blue|urban,blue,cool,"Portrait of Glass Room is a landscape ink on paper work with a cool palette and tags urban, blue.","[0.4747458832317172, -0.2850434998094094, 0.2592471892892085, -0.09811230782396593, -0.262882452357646, -0.32864626381771256, 0.20113536211790647, -0.6316331482815]"
100049,item_0049,artist_002,Ari Valette,Silence in Mirror Lake,abstract,Gouache on board,Dutch,Asian Art,Prints,2001,132.12,1.189,0.4073,0.2859,42.77,0.3237,1,True,Painting,Dutch,21th century,dreamlike|green,green,cool,"Silence in Mirror Lake is a abstract gouache on board work with a cool palette and tags dreamlike, green.","[0.5501989567630053, 0.14780611090030082, 0.08679212700654432, 0.7369427013333615, -0.1914135950643966, -0.15937535458822974, -0.1870316607689455, -0.16672291996761243]"
100050,item_0050,artist_009,Noah Morel,Silence in Summer Window,contemporary,Ink on paper,French,Modern and Contemporary Art,Prints,1963,190.96,-0.7983,0.0711,0.3546,46.11,0.2415,1,True,Painting,French,20th century,architecture|figure|sea|violet,violet,warm,"Silence in Summer Window is a contemporary ink on paper work with a warm palette and tags architecture, figure, sea, violet.","[0.4412556323875757, 0.5120765588712716, -0.1747305669197362, 0.3646841099383952, 0.0815116573783557, 0.09536700894135884, 0.18777731360367025, 0.5731897212489773]"
100051,item_0051,artist_028,Mila Hart,Portrait of Evening Field,surrealism,Watercolor on paper,Dutch,Photographs,Photography,1967,352.89,1.1087,0.2446,0.6109,153.61,0.4353,1,True,Painting,Dutch,20th century,blue|gold|nature|portrait,gold,warm,"Portrait of Evening Field is a surrealism watercolor on paper work with a warm palette and tags portrait, blue, nature, gold.","[0.6772272848910978, -0.14227480483337546, -0.13117159025755656, 0.27983899708854365, 0.18274945439046286, 0.4949244290789998, 0.15649492462505046, 0.35038124695894723]"
